doorknob;Turn the doorknob to open the door.
hour;We waited for an hour.
kneeling;He was kneeling to tie his shoe.
wreath;A wreath hung on the front door.
listened;She listened to the teacher.
answer;I know the answer to the question.
honest;He is an honest person.
written;The note was written on paper.
fasten;Please fasten your seatbelt.
unknown;The cause of the problem was unknown.
psalm;We read a psalm in church.
wrinkle;There is a wrinkle in the shirt.
castle;The king lived in a castle.
honor;It is an honor to help others.
whistle;The coach blew a whistle.
handwriting;Her handwriting is neat and clear.
its;The cat cleaned its paws.
it's;It's going to rain today.
half;I ate half of the apple.
herbs;The cook added herbs to the soup.
locust;A locust landed on the tree.
cyclones;Cyclones can cause strong winds and rain.
diamonds;The ring was covered with diamonds.
